date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:47:32	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://sharenkeisha2223.wixsite.com/robots.txt		(from )
07:47:33	678161/678161	---MCZ	200	added ('OK')	text/html	etag:W/%22056d14d30d6374a7394a66133528d32b%22	https://sharenkeisha2223.wixsite.com/lokawignanumala	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/lokawignanumala.html	(from )
07:47:33	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/loka/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:34	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/loka/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:34	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2001%20Feb%202025%2000:47:32%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/loka/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:35	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:47:34%20GMT	https://sharenkeisha2223.wixsite.com/s	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/s.4.delayed	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:35	2485/2485	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:47:34%20GMT	https://sharenkeisha2223.wixsite.com/t	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/t.5.delayed	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:36	2484/2484	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Feb%202025%2000:47:35%20GMT	https://sharenkeisha2223.wixsite.com/	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/index.html	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:37	582621/582621	---MCZ	200	added ('OK')	text/html	etag:W/%228eaefe8721e3f9001ca67400e18256cb%22	https://sharenkeisha2223.wixsite.com/lokawignanumala/why	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/lokawignanumala/why.html	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:39	556985/556985	---MCZ	200	added ('OK')	text/html	etag:W/%22b597c716fe7199acc9dbcf1c2f3d6fc8%22	https://sharenkeisha2223.wixsite.com/lokawignanumala/logo	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/lokawignanumala/logo.html	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
07:47:39	607392/607392	---MCZ	200	added ('OK')	text/html	etag:W/%22099a0fd63c2843f4102f40c9a5a1e15f%22	https://sharenkeisha2223.wixsite.com/lokawignanumala/four-elements	C:/My%20Web%20Sites/loka/sharenkeisha2223.wixsite.com/lokawignanumala/four-elements.html	(from https://sharenkeisha2223.wixsite.com/lokawignanumala)
